Designator,Mid X,Mid Y,Layer,Rotation,
C1,32.86,48.3,Top,90,
C2,17.14,38.47,Top,180,
C3,14.92,42.77,Top,0,
C4,56.52,56.55,Top,90,
C5,52.07,61.64,Top,90,
C6,52.07,67.98,Top,270,
C7,52.07,73.06,Top,270,
C8,22.86,20.96,Top,270,
C9,22.86,15.88,Top,90,
IC1,43.82,66.08,Top,180,CP
LED1,10.79,82.19,Top,180,
R1,35.56,39.69,Top,90,5.1
R2,32.86,39.69,Top,270,470
R6,24.13,34.93,Top,90,470
R7,7.62,57.83,Top,90,12k
R8,27.94,40.01,Top,90,470
R9,23.81,40.01,Top,90,470
R10,3.49,73.98,Top,270,1k
R14,31.75,34.93,Top,90,12k
R15,10.16,51.32,Top,90,12k
R33,7.62,62.91,Top,270,12k
R34,52.07,56.55,Top,270,4.7
T1,5.71,48.22,Top,180,Transistor
T2,5.71,52.75,Top,0,Transistor
U1,23.36,68.15,Top,270,ESP
