Designator,Mid X,Mid Y,Layer,Rotation,,
C1,20.43,97.33,Top,270,100n,
C2,7.86,27.35,Top,0,10u,
C3,13.26,27.35,Top,0,10u,
C4,73.58,73.39,Top,0,10u,
C5,73.58,70.53,Top,0,100n,
C6,79.3,81.96,Top,90,10u,
C7,79.3,87.36,Top,90,100n,
C8,13.26,42.27,Top,0,10u,
C9,8.18,42.27,Top,0,10u,
C10,54.09,14.82,Top,270,100u,
C11,54.22,35.93,Top,270,100u,
C12,62.79,14.65,Top,270,100u,
C13,62.79,36.88,Top,90,100u,
IC1,66.92,78.79,Top,90,CP2102,??
J1,72.95,94.62,Top,90,MINI USB,
LED1,23.73,97.52,Top,90,LED,
R1,31.36,83.23,Top,270,5.1k,
R2,27.23,83.23,Top,270,470,
R6,27.23,77.52,Top,270,0,
R7,7.86,49.58,Top,270,,
R8,27.86,92.44,Top,270,,
R9,58.82,97.36,Top,180,,
R10,27.86,97.52,Top,270,,
R14,24.69,54.02,Top,270,,
R15,20.56,54.02,Top,270,,
R33,31.36,77.52,Top,90,,
R34,50.41,70.22,Top,0,,
T1,13.58,55.93,Top,0,8050,
T2,13.58,51.48,Top,0,8050,
U1,45.64,83.4,Top,270,ESP,
